
       XFOIL         Version 6.99

 Calculated polar for: NACA 0018

 1 1 Reynolds number fixed          Mach number fixed

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5396   0.00843   0.00317  -0.0058   0.8594   0.2774
  -4.000  -0.4337   0.00791   0.00268  -0.0043   0.8040   0.3287
  -3.000  -0.3262   0.00756   0.00231  -0.0030   0.7427   0.3821
  -2.000  -0.2180   0.00733   0.00206  -0.0019   0.6791   0.4379
  -1.000  -0.1092   0.00719   0.00192  -0.0009   0.6161   0.4956
   0.000   0.0000   0.00714   0.00187  -0.0000   0.5549   0.5548
   1.000   0.1093   0.00719   0.00192   0.0009   0.4956   0.6160
   2.000   0.2181   0.00733   0.00206   0.0019   0.4379   0.6792
   3.000   0.3263   0.00756   0.00231   0.0030   0.3821   0.7428
   4.000   0.4338   0.00791   0.00268   0.0043   0.3287   0.8040
   5.000   0.5397   0.00843   0.00317   0.0058   0.2774   0.8594
   6.000   0.6427   0.00914   0.00382   0.0079   0.2295   0.9067
   7.000   0.7414   0.01006   0.00461   0.0107   0.1864   0.9453
   8.000   0.8454   0.01115   0.00557   0.0122   0.1502   0.9725
   9.000   0.9719   0.01256   0.00680   0.0081   0.1183   0.9853
  10.000   1.0996   0.01413   0.00823   0.0034   0.0943   0.9942
  11.000   1.2074   0.01577   0.00980   0.0022   0.0780   1.0000
  12.000   1.2144   0.01703   0.01109   0.0207   0.0698   1.0000
  13.000   1.2709   0.01921   0.01334   0.0277   0.0619   1.0000
  14.000   1.3251   0.02233   0.01655   0.0330   0.0552   1.0000
  15.000   1.3702   0.02673   0.02109   0.0369   0.0500   1.0000
  16.000   1.4022   0.03300   0.02752   0.0392   0.0459   1.0000
  17.000   1.4130   0.04226   0.03701   0.0395   0.0425   1.0000
  18.000   1.4170   0.05335   0.04840   0.0376   0.0400   1.0000
  19.000   1.3801   0.07037   0.06574   0.0326   0.0379   1.0000
  20.000   1.3475   0.08780   0.08354   0.0263   0.0363   1.0000
