NACA 0018
 Alfa =   5.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp
   1.00000  0.00189  0.53568
   0.99215  0.00354  0.33819
   0.97925  0.00620  0.25348
   0.96496  0.00911  0.18901
   0.94931  0.01224  0.13703
   0.93238  0.01555  0.09153
   0.91435  0.01901  0.05049
   0.89542  0.02257  0.01240
   0.87581  0.02617 -0.02283
   0.85570  0.02978 -0.05623
   0.83523  0.03337 -0.08789
   0.81452  0.03691 -0.11825
   0.79364  0.04040 -0.14748
   0.77266  0.04382 -0.17607
   0.75160  0.04715 -0.20389
   0.73051  0.05041 -0.23167
   0.70941  0.05358 -0.25898
   0.68830  0.05665 -0.28634
   0.66721  0.05963 -0.31378
   0.64615  0.06251 -0.34125
   0.62513  0.06528 -0.36910
   0.60416  0.06794 -0.39745
   0.58324  0.07048 -0.42610
   0.56239  0.07290 -0.45520
   0.54163  0.07520 -0.48510
   0.52095  0.07736 -0.51554
   0.50038  0.07937 -0.54647
   0.47991  0.08124 -0.57837
   0.45958  0.08296 -0.61112
   0.43938  0.08451 -0.64433
   0.41934  0.08588 -0.67854
   0.39947  0.08707 -0.71362
   0.37979  0.08808 -0.74957
   0.36032  0.08888 -0.78608
   0.34108  0.08948 -0.82376
   0.32211  0.08986 -0.86212
   0.30344  0.09002 -0.90114
   0.28511  0.08995 -0.94081
   0.26716  0.08965 -0.98135
   0.24964  0.08911 -1.02219
   0.23262  0.08833 -1.06342
   0.21616  0.08732 -1.10505
   0.20031  0.08609 -1.14630
   0.18515  0.08465 -1.18777
   0.17073  0.08302 -1.22852
   0.15711  0.08122 -1.26912
   0.14431  0.07928 -1.30825
   0.13234  0.07722 -1.34669
   0.12120  0.07507 -1.38375
   0.11088  0.07285 -1.41952
   0.10133  0.07058 -1.45343
   0.09251  0.06827 -1.48672
   0.08438  0.06595 -1.51721
   0.07687  0.06361 -1.54625
   0.06995  0.06127 -1.57359
   0.06354  0.05894 -1.59814
   0.05762  0.05661 -1.62127
   0.05214  0.05428 -1.64139
   0.04706  0.05196 -1.65815
   0.04235  0.04964 -1.67228
   0.03797  0.04732 -1.68116
   0.03390  0.04500 -1.68674
   0.03012  0.04268 -1.68607
   0.02661  0.04035 -1.68000
   0.02334  0.03801 -1.66512
   0.02032  0.03566 -1.64070
   0.01753  0.03329 -1.60767
   0.01495  0.03091 -1.55975
   0.01259  0.02850 -1.49936
   0.01043  0.02608 -1.42089
   0.00848  0.02363 -1.32692
   0.00674  0.02116 -1.20867
   0.00520  0.01867 -1.07436
   0.00386  0.01616 -0.91991
   0.00273  0.01365 -0.74466
   0.00180  0.01113 -0.55880
   0.00107  0.00861 -0.36401
   0.00053  0.00611 -0.16616
   0.00019  0.00364  0.02521
   0.00002  0.00120  0.20582
   0.00002 -0.00120  0.36908
   0.00019 -0.00364  0.51812
   0.00053 -0.00611  0.65255
